C,max_iter,kernel,gamma,Validation_Accuracy
796.5431903172462,265,poly,5.968541894449077,0.9832869080779945
445.8333070208384,190,rbf,3.3371527405291053,0.11142061281337047
142.8676750551229,686,linear,7.220015522791022,0.9777158774373259
938.5527704630414,101,poly,6.174853348126203,0.9832869080779945
611.6535488351205,106,linear,5.247794125117867,0.9777158774373259
399.86157185428385,142,poly,2.327790127169,0.9832869080779945
90.60734392638629,657,rbf,9.832310534979303,0.10306406685236769
466.76342648508677,874,poly,4.505047469770234,0.9832869080779945
13.265947894905372,948,rbf,3.8542264837489086,0.10863509749303621
15.967236253961977,308,linear,6.832666861902701,0.9777158774373259
1000.0,1000,poly,0.0001,0.10027855153203342
1000.0,100,poly,10.0,0.9832869080779945
378.09588929619616,191,poly,2.6717056769967478,0.9832869080779945
286.99626377534196,100,poly,2.7752052167425787,0.9832869080779945
0.001,1000,linear,0.0001,0.9164345403899722
0.001,1000,poly,10.0,0.9832869080779945
0.001,100,linear,10.0,0.9164345403899722
34.19794729925307,870,linear,2.584242357639992,0.9777158774373259
0.001,676,poly,10.0,0.9832869080779945
0.001,100,poly,8.44611773225401,0.9832869080779945
796.5431903172462,265,poly,5.968541894449077,0.9832869080779945
445.8333070208384,190,rbf,3.3371527405291053,0.11142061281337047
142.8676750551229,686,linear,7.220015522791022,0.9777158774373259
938.5527704630414,101,poly,6.174853348126203,0.9832869080779945
611.6535488351205,106,linear,5.247794125117867,0.9777158774373259
399.86157185428385,142,poly,2.327790127169,0.9832869080779945
90.60734392638629,657,rbf,9.832310534979303,0.10306406685236769
466.76342648508677,874,poly,4.505047469770234,0.9832869080779945
13.265947894905372,948,rbf,3.8542264837489086,0.10863509749303621
15.967236253961977,308,linear,6.832666861902701,0.9777158774373259
1000.0,1000,poly,0.0001,0.10027855153203342
1000.0,100,poly,10.0,0.9832869080779945
378.09588929619616,191,poly,2.6717056769967478,0.9832869080779945
286.99626377534196,100,poly,2.7752052167425787,0.9832869080779945
0.001,1000,linear,0.0001,0.9164345403899722
0.001,1000,poly,10.0,0.9832869080779945
0.001,100,linear,10.0,0.9164345403899722
34.19794729925307,870,linear,2.584242357639992,0.9777158774373259
0.001,676,poly,10.0,0.9832869080779945
0.001,100,poly,8.44611773225401,0.9832869080779945
